SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SiteAddress
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,宜蘭縣礁溪鄉宜6鄉道(七結路)
九如橋,Jiouru Bridge,屏東縣,九如鄉,高屏溪流域,高屏溪,120.4887560,22.7247530,197485.01,2513895.27,屏東縣九如鄉台3線公路(436.5公里處)
二高便道橋,Second Super highway Sidewalk bridge,嘉義縣,竹崎鄉,朴子溪流域,朴子溪,120.4895370,23.5069090,197868.18,2600509.07,嘉義縣竹崎鄉義和村國道3號下
二港橋,Erngon Bridge,台南市,學甲區,急水溪流域,急水溪,120.1904270,23.2660400,167170.39,2573974.14,台南市學甲區二港村
二溪大橋,Erncida Bridge,台南市,大內區,曾文溪流域,曾文溪,120.3843880,23.1156620,186945.22,2557223.80,台南市大內區南182線
二層行橋,Erntsuncin Bridge,台南市,仁德區,二仁溪流域,二仁溪,120.2257960,22.9158570,170583.75,2535174.76,台南市仁德區台1線公路(340公里處)
二層橋,Erntsun Bridge,高雄市,內門區,二仁溪流域,二仁溪,120.4604620,22.9167280,194656.30,2535163.71,高雄市內門區中正路(台3線公路)
八掌溪橋,Bajhang River Bridge,嘉義縣,水上鄉,八掌溪流域,八掌溪,120.3817190,23.4038180,186807.83,2589135.71,嘉義縣水上鄉台1線公路(274公里處)
三峽大橋,Sansia Bridge,新北市,三峽區,淡水河流域,三峽河,121.3748650,24.9346320,287859.08,2758589.60,新北市三峽區3號公路
三峽河抽水站(取代醒心橋),SingSin Bridge,新北市,三峽區,淡水河流域,三峽河,121.3737770,24.8956390,287761.11,2754270.27,新北市三峽區鳶山北111線
三棧橋,Sanjhan Bridge,花蓮縣,新城鄉,三棧溪流域,三棧溪,121.6083850,24.1006620,311850.69,2666305.30,花蓮縣新城鄉北三棧懷恩橋
三聖橋,Sansheng Bridge,新竹縣,新埔鎮,鳳山溪流域,鳳山溪,121.0975460,24.8325570,259859.64,2747235.08,新竹縣新埔鎮五埔里竹19號道路
三鶯大橋,Sanying Bridge,新北市,鶯歌區,淡水河流域,大漢溪,121.3532230,24.9447610,285670.44,2759705.58,新北市鶯歌區文化路三鶯大橋
三灣大橋,Sanwanda Bridge,苗栗縣,三灣鄉,中港溪流域,中港溪,120.9591130,24.6618980,245861.61,2728330.26,苗栗縣三灣鄉台3號公路98km處
上磺溪橋,Upper Huang River Bridge,新北市,金山區,磺溪流域,磺溪,121.5822730,25.1792090,308689.75,2785754.26,新北市金山區三和村2號公路大油坑旁
下荖溪橋,Sialousi Bridge,花蓮縣,壽豐鄉,花蓮溪流域,花蓮溪,121.5104280,23.8903480,301976.21,2642973.35,花蓮縣壽豐鄉9號公路旁
千鳥橋,Chenniao Bridge,台南市,新化區,鹽水溪流域,鹽水溪,120.3582500,23.0723000,184246.85,2552433.52,台南市新化區那菝林台20線19公里處
土庫大橋,Tokooda Bridge,雲林縣,斗南鎮,北港溪流域,北港溪(雲),120.4186350,23.6814510,190705.63,2619866.33,雲林縣虎尾鎮延平里158甲公路22.5km處
大內橋（取代北勢洲橋）,Peishihchou Bridge,台南市,大內區,曾文溪流域,曾文溪,120.3453860,23.1203040,182952.56,2557755.28,台南市大內區與山上區交界處(南182線)
大巴六九巴取水口,Dabaliugeoba Intake,台東縣,卑南鄉,太平溪流域,太平溪,121.0577880,22.8111280,255932.20,2523370.23,台東縣卑南鄉泰安村
