SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
海墘大橋,"Hichenda Bridge",屏東縣,,港口溪流域,港口溪,120.8410850000,21.9886950000,,,2013-05-07,大腸桿菌群,"Coliform Group",Coliform,310,CFU/100mL
海墘大橋,"Hichenda Bridge",屏東縣,,港口溪流域,港口溪,120.8410850000,21.9886950000,,,2013-05-07,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,88.5,%
海墘大橋,"Hichenda Bridge",屏東縣,,港口溪流域,港口溪,120.8410850000,21.9886950000,,,2013-05-07,氯鹽,Chloride,Cl,4470,mg/L
海墘大橋,"Hichenda Bridge",屏東縣,,港口溪流域,港口溪,120.8410850000,21.9886950000,,,2013-05-07,氨氮,NH3-N,NH3-N,0.04,mg/L
海墘大橋,"Hichenda Bridge",屏東縣,,港口溪流域,港口溪,120.8410850000,21.9886950000,,,2013-05-07,化學需氧量,"Chemical Oxygen Demand",COD,5.9,mg/L
海墘大橋,"Hichenda Bridge",屏東縣,,港口溪流域,港口溪,120.8410850000,21.9886950000,,,2013-05-07,生化需氧量,"Biochemical Oxygen Demand",BOD5,<1.0,mg/L
海墘大橋,"Hichenda Bridge",屏東縣,,港口溪流域,港口溪,120.8410850000,21.9886950000,,,2013-05-07,溶氧(電極法),"Dissolved Oxygen",DO,6.7,mg/L
海墘大橋,"Hichenda Bridge",屏東縣,,港口溪流域,港口溪,120.8410850000,21.9886950000,,,2013-05-07,懸浮固體,"Suspended Solid",SS,26.0,mg/L
海墘大橋,"Hichenda Bridge",屏東縣,,港口溪流域,港口溪,120.8410850000,21.9886950000,,,2013-05-07,氣溫,Temperature,TMP,27.4,℃
海墘大橋,"Hichenda Bridge",屏東縣,,港口溪流域,港口溪,120.8410850000,21.9886950000,,,2013-05-07,導電度,Conductivity,EC,13100,μmho/cm25℃
海墘大橋,"Hichenda Bridge",屏東縣,,港口溪流域,港口溪,120.8410850000,21.9886950000,,,2013-05-07,酸鹼值,pH,pH,8.0,
海墘大橋,"Hichenda Bridge",屏東縣,,港口溪流域,港口溪,120.8410850000,21.9886950000,,,2013-05-07,水溫,"Water Temperature",WT,27.0,℃
海墘大橋,"Hichenda Bridge",屏東縣,,港口溪流域,港口溪,120.8410850000,21.9886950000,,,2013-05-07,河川污染分類指標,"River Pollution Index",RPI,1.50,
港口橋,"Gangkou Bridge",屏東縣,,港口溪流域,港口溪,120.8191970000,22.0014960000,,,2013-05-07,大腸桿菌群,"Coliform Group",Coliform,900,CFU/100mL
港口橋,"Gangkou Bridge",屏東縣,,港口溪流域,港口溪,120.8191970000,22.0014960000,,,2013-05-07,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,109.7,%
港口橋,"Gangkou Bridge",屏東縣,,港口溪流域,港口溪,120.8191970000,22.0014960000,,,2013-05-07,氯鹽,Chloride,Cl,-,mg/L
港口橋,"Gangkou Bridge",屏東縣,,港口溪流域,港口溪,120.8191970000,22.0014960000,,,2013-05-07,氨氮,NH3-N,NH3-N,0.02,mg/L
港口橋,"Gangkou Bridge",屏東縣,,港口溪流域,港口溪,120.8191970000,22.0014960000,,,2013-05-07,化學需氧量,"Chemical Oxygen Demand",COD,7.0,mg/L
港口橋,"Gangkou Bridge",屏東縣,,港口溪流域,港口溪,120.8191970000,22.0014960000,,,2013-05-07,生化需氧量,"Biochemical Oxygen Demand",BOD5,<1.0,mg/L
港口橋,"Gangkou Bridge",屏東縣,,港口溪流域,港口溪,120.8191970000,22.0014960000,,,2013-05-07,溶氧(電極法),"Dissolved Oxygen",DO,8.8,mg/L
港口橋,"Gangkou Bridge",屏東縣,,港口溪流域,港口溪,120.8191970000,22.0014960000,,,2013-05-07,懸浮固體,"Suspended Solid",SS,27.2,mg/L
港口橋,"Gangkou Bridge",屏東縣,,港口溪流域,港口溪,120.8191970000,22.0014960000,,,2013-05-07,氣溫,Temperature,TMP,27.3,℃
港口橋,"Gangkou Bridge",屏東縣,,港口溪流域,港口溪,120.8191970000,22.0014960000,,,2013-05-07,導電度,Conductivity,EC,416,μmho/cm25℃
港口橋,"Gangkou Bridge",屏東縣,,港口溪流域,港口溪,120.8191970000,22.0014960000,,,2013-05-07,酸鹼值,pH,pH,8.1,
港口橋,"Gangkou Bridge",屏東縣,,港口溪流域,港口溪,120.8191970000,22.0014960000,,,2013-05-07,水溫,"Water Temperature",WT,26.3,℃
港口橋,"Gangkou Bridge",屏東縣,,港口溪流域,港口溪,120.8191970000,22.0014960000,,,2013-05-07,河川污染分類指標,"River Pollution Index",RPI,1.50,
臨海橋,"Linhia Bridge",屏東縣,,保力溪流域,保力溪,120.7120610000,22.0577710000,,,2013-05-07,大腸桿菌群,"Coliform Group",Coliform,1400,CFU/100mL
臨海橋,"Linhia Bridge",屏東縣,,保力溪流域,保力溪,120.7120610000,22.0577710000,,,2013-05-07,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,80.8,%
臨海橋,"Linhia Bridge",屏東縣,,保力溪流域,保力溪,120.7120610000,22.0577710000,,,2013-05-07,氯鹽,Chloride,Cl,12400,mg/L
臨海橋,"Linhia Bridge",屏東縣,,保力溪流域,保力溪,120.7120610000,22.0577710000,,,2013-05-07,氨氮,NH3-N,NH3-N,0.40,mg/L
臨海橋,"Linhia Bridge",屏東縣,,保力溪流域,保力溪,120.7120610000,22.0577710000,,,2013-05-07,化學需氧量,"Chemical Oxygen Demand",COD,10.6,mg/L
臨海橋,"Linhia Bridge",屏東縣,,保力溪流域,保力溪,120.7120610000,22.0577710000,,,2013-05-07,生化需氧量,"Biochemical Oxygen Demand",BOD5,1.4,mg/L
臨海橋,"Linhia Bridge",屏東縣,,保力溪流域,保力溪,120.7120610000,22.0577710000,,,2013-05-07,溶氧(電極法),"Dissolved Oxygen",DO,5.5,mg/L
臨海橋,"Linhia Bridge",屏東縣,,保力溪流域,保力溪,120.7120610000,22.0577710000,,,2013-05-07,懸浮固體,"Suspended Solid",SS,29.1,mg/L
臨海橋,"Linhia Bridge",屏東縣,,保力溪流域,保力溪,120.7120610000,22.0577710000,,,2013-05-07,氣溫,Temperature,TMP,27.9,℃
臨海橋,"Linhia Bridge",屏東縣,,保力溪流域,保力溪,120.7120610000,22.0577710000,,,2013-05-07,導電度,Conductivity,EC,34000,μmho/cm25℃
臨海橋,"Linhia Bridge",屏東縣,,保力溪流域,保力溪,120.7120610000,22.0577710000,,,2013-05-07,酸鹼值,pH,pH,8.0,
臨海橋,"Linhia Bridge",屏東縣,,保力溪流域,保力溪,120.7120610000,22.0577710000,,,2013-05-07,水溫,"Water Temperature",WT,28.0,℃
臨海橋,"Linhia Bridge",屏東縣,,保力溪流域,保力溪,120.7120610000,22.0577710000,,,2013-05-07,河川污染分類指標,"River Pollution Index",RPI,2.00,
龍潭橋(原為龍鑾潭),Longluntan,屏東縣,,保力溪流域,保力溪,120.7378840000,21.9881380000,,,2013-05-07,大腸桿菌群,"Coliform Group",Coliform,-,CFU/100mL
龍潭橋(原為龍鑾潭),Longluntan,屏東縣,,保力溪流域,保力溪,120.7378840000,21.9881380000,,,2013-05-07,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,-,%
龍潭橋(原為龍鑾潭),Longluntan,屏東縣,,保力溪流域,保力溪,120.7378840000,21.9881380000,,,2013-05-07,氯鹽,Chloride,Cl,-,mg/L
龍潭橋(原為龍鑾潭),Longluntan,屏東縣,,保力溪流域,保力溪,120.7378840000,21.9881380000,,,2013-05-07,氨氮,NH3-N,NH3-N,-,mg/L
龍潭橋(原為龍鑾潭),Longluntan,屏東縣,,保力溪流域,保力溪,120.7378840000,21.9881380000,,,2013-05-07,化學需氧量,"Chemical Oxygen Demand",COD,-,mg/L
龍潭橋(原為龍鑾潭),Longluntan,屏東縣,,保力溪流域,保力溪,120.7378840000,21.9881380000,,,2013-05-07,生化需氧量,"Biochemical Oxygen Demand",BOD5,-,mg/L
龍潭橋(原為龍鑾潭),Longluntan,屏東縣,,保力溪流域,保力溪,120.7378840000,21.9881380000,,,2013-05-07,溶氧(電極法),"Dissolved Oxygen",DO,-,mg/L
龍潭橋(原為龍鑾潭),Longluntan,屏東縣,,保力溪流域,保力溪,120.7378840000,21.9881380000,,,2013-05-07,懸浮固體,"Suspended Solid",SS,-,mg/L
龍潭橋(原為龍鑾潭),Longluntan,屏東縣,,保力溪流域,保力溪,120.7378840000,21.9881380000,,,2013-05-07,氣溫,Temperature,TMP,-,℃
龍潭橋(原為龍鑾潭),Longluntan,屏東縣,,保力溪流域,保力溪,120.7378840000,21.9881380000,,,2013-05-07,導電度,Conductivity,EC,-,μmho/cm25℃
龍潭橋(原為龍鑾潭),Longluntan,屏東縣,,保力溪流域,保力溪,120.7378840000,21.9881380000,,,2013-05-07,酸鹼值,pH,pH,-,
龍潭橋(原為龍鑾潭),Longluntan,屏東縣,,保力溪流域,保力溪,120.7378840000,21.9881380000,,,2013-05-07,水溫,"Water Temperature",WT,-,℃
懷恩橋(原為二重溪),Erchongci,屏東縣,,四重溪流域,四重溪,120.7408320000,22.0827920000,,,2013-05-07,大腸桿菌群,"Coliform Group",Coliform,-,CFU/100mL
懷恩橋(原為二重溪),Erchongci,屏東縣,,四重溪流域,四重溪,120.7408320000,22.0827920000,,,2013-05-07,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,-,%
懷恩橋(原為二重溪),Erchongci,屏東縣,,四重溪流域,四重溪,120.7408320000,22.0827920000,,,2013-05-07,氯鹽,Chloride,Cl,-,mg/L
懷恩橋(原為二重溪),Erchongci,屏東縣,,四重溪流域,四重溪,120.7408320000,22.0827920000,,,2013-05-07,氨氮,NH3-N,NH3-N,-,mg/L
懷恩橋(原為二重溪),Erchongci,屏東縣,,四重溪流域,四重溪,120.7408320000,22.0827920000,,,2013-05-07,化學需氧量,"Chemical Oxygen Demand",COD,-,mg/L
懷恩橋(原為二重溪),Erchongci,屏東縣,,四重溪流域,四重溪,120.7408320000,22.0827920000,,,2013-05-07,生化需氧量,"Biochemical Oxygen Demand",BOD5,-,mg/L
懷恩橋(原為二重溪),Erchongci,屏東縣,,四重溪流域,四重溪,120.7408320000,22.0827920000,,,2013-05-07,溶氧(電極法),"Dissolved Oxygen",DO,-,mg/L
懷恩橋(原為二重溪),Erchongci,屏東縣,,四重溪流域,四重溪,120.7408320000,22.0827920000,,,2013-05-07,懸浮固體,"Suspended Solid",SS,-,mg/L
懷恩橋(原為二重溪),Erchongci,屏東縣,,四重溪流域,四重溪,120.7408320000,22.0827920000,,,2013-05-07,氣溫,Temperature,TMP,-,℃
懷恩橋(原為二重溪),Erchongci,屏東縣,,四重溪流域,四重溪,120.7408320000,22.0827920000,,,2013-05-07,導電度,Conductivity,EC,-,μmho/cm25℃
懷恩橋(原為二重溪),Erchongci,屏東縣,,四重溪流域,四重溪,120.7408320000,22.0827920000,,,2013-05-07,酸鹼值,pH,pH,-,
懷恩橋(原為二重溪),Erchongci,屏東縣,,四重溪流域,四重溪,120.7408320000,22.0827920000,,,2013-05-07,水溫,"Water Temperature",WT,-,℃
石門村過四重溪水泥橋(原為石門),Shihmen,屏東縣,,四重溪流域,四重溪,120.7633400000,22.1135960000,,,2013-05-07,大腸桿菌群,"Coliform Group",Coliform,950,CFU/100mL
石門村過四重溪水泥橋(原為石門),Shihmen,屏東縣,,四重溪流域,四重溪,120.7633400000,22.1135960000,,,2013-05-07,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,123.0,%
石門村過四重溪水泥橋(原為石門),Shihmen,屏東縣,,四重溪流域,四重溪,120.7633400000,22.1135960000,,,2013-05-07,氯鹽,Chloride,Cl,-,mg/L
石門村過四重溪水泥橋(原為石門),Shihmen,屏東縣,,四重溪流域,四重溪,120.7633400000,22.1135960000,,,2013-05-07,氨氮,NH3-N,NH3-N,0.07,mg/L
石門村過四重溪水泥橋(原為石門),Shihmen,屏東縣,,四重溪流域,四重溪,120.7633400000,22.1135960000,,,2013-05-07,化學需氧量,"Chemical Oxygen Demand",COD,5.8,mg/L
石門村過四重溪水泥橋(原為石門),Shihmen,屏東縣,,四重溪流域,四重溪,120.7633400000,22.1135960000,,,2013-05-07,生化需氧量,"Biochemical Oxygen Demand",BOD5,<1.0,mg/L
石門村過四重溪水泥橋(原為石門),Shihmen,屏東縣,,四重溪流域,四重溪,120.7633400000,22.1135960000,,,2013-05-07,溶氧(電極法),"Dissolved Oxygen",DO,9.6,mg/L
石門村過四重溪水泥橋(原為石門),Shihmen,屏東縣,,四重溪流域,四重溪,120.7633400000,22.1135960000,,,2013-05-07,懸浮固體,"Suspended Solid",SS,6.6,mg/L
